Info,Info,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,C1,C1,C1,C2,C2,C2,C3,C3,C3,C4,C4,C4,C5,C5,C5,C6,C6,C6,C7,C7,C7,C8,C8,C8
Number,Time,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ
0,0.0,-816.4965809277261,0.0,1187.3502691896258,-5.551115123125783e-14,0.0,610.0000000000001,408.248290463863,707.1067811865476,1187.350269189626,-408.248290463863,707.1067811865476,1764.7005383792516,-408.248290463863,-707.1067811865476,1764.7005383792514,408.248290463863,-707.1067811865476,1187.3502691896258,816.4965809277261,0.0,1764.7005383792516,5.551115123125783e-14,0.0,2342.050807568877
1,0.008333333333333333,-816.4965809277261,0.0,1187.1148291896259,-5.551115123125783e-14,0.0,609.7645600000001,408.248290463863,707.1067811865476,1187.114829189626,-408.248290463863,707.1067811865476,1764.4650983792517,-408.248290463863,-707.1067811865476,1764.4650983792515,408.248290463863,-707.1067811865476,1187.1148291896259,816.4965809277261,0.0,1764.4650983792517,5.551115123125783e-14,0.0,2341.8153675688773
2,0.016666666666666666,-816.4965809277261,0.0,1186.2515491896258,-5.551115123125783e-14,0.0,608.9012800000002,408.248290463863,707.1067811865476,1186.251549189626,-408.248290463863,707.1067811865476,1763.6018183792517,-408.248290463863,-707.1067811865476,1763.6018183792514,408.248290463863,-707.1067811865476,1186.2515491896258,816.4965809277261,0.0,1763.6018183792517,5.551115123125783e-14,0.0,2340.9520875688772
3,0.025,-816.4965809277261,0.0,1184.7604291896262,-5.551115123125783e-14,0.0,607.4101600000004,408.248290463863,707.1067811865476,1184.7604291896264,-408.248290463863,707.1067811865476,1762.1106983792517,-408.248290463863,-707.1067811865476,1762.1106983792515,408.248290463863,-707.1067811865476,1184.7604291896262,816.4965809277261,0.0,1762.1106983792517,5.551115123125783e-14,0.0,2339.4609675688775
4,0.03333333333333333,-816.4965809277261,0.0,1182.6414691896264,-5.551115123125783e-14,0.0,605.2912000000006,408.248290463863,707.1067811865476,1182.6414691896266,-408.248290463863,707.1067811865476,1759.991738379252,-408.248290463863,-707.1067811865476,1759.9917383792517,408.248290463863,-707.1067811865476,1182.6414691896264,816.4965809277261,0.0,1759.991738379252,5.551115123125783e-14,0.0,2337.3420075688778
5,0.041666666666666664,-816.4965809277261,0.0,1179.8946691896267,-5.551115123125783e-14,0.0,602.5444000000009,408.248290463863,707.1067811865476,1179.8946691896267,-408.248290463863,707.1067811865476,1757.2449383792523,-408.248290463863,-707.1067811865476,1757.244938379252,408.248290463863,-707.1067811865476,1179.8946691896267,816.4965809277261,0.0,1757.2449383792523,5.551115123125783e-14,0.0,2334.595207568878
6,0.049999999999999996,-816.4965809277261,0.0,1176.520029189627,-5.551115123125783e-14,0.0,599.1697600000012,408.248290463863,707.1067811865476,1176.5200291896272,-408.248290463863,707.1067811865476,1753.8702983792527,-408.248290463863,-707.1067811865476,1753.8702983792525,408.248290463863,-707.1067811865476,1176.520029189627,816.4965809277261,0.0,1753.8702983792527,5.551115123125783e-14,0.0,2331.2205675688783
7,0.05833333333333333,-816.4965809277261,0.0,1172.5175491896273,-5.551115123125783e-14,0.0,595.1672800000016,408.248290463863,707.1067811865476,1172.5175491896275,-408.248290463863,707.1067811865476,1749.867818379253,-408.248290463863,-707.1067811865476,1749.8678183792529,408.248290463863,-707.1067811865476,1172.5175491896273,816.4965809277261,0.0,1749.867818379253,5.551115123125783e-14,0.0,2327.2180875688787
8,0.06666666666666667,-816.4965809277261,0.0,1167.8872291896269,-5.551115123125783e-14,0.0,590.5369600000013,408.248290463863,707.1067811865476,1167.887229189627,-408.248290463863,707.1067811865476,1745.2374983792527,-408.248290463863,-707.1067811865476,1745.2374983792524,408.248290463863,-707.1067811865476,1167.8872291896269,816.4965809277261,0.0,1745.2374983792527,5.551115123125783e-14,0.0,2322.587767568878
